mode,contractAnchorDate,marketGroup,area,commodity,pricing,product,maturityType,delivery,requestedTradeDate,windowStartDate,windowEndDate,tradeDate,status,settlementPrice,volume,grossOpenInterest,shortCode,maturity,assumedCode,httpStatus,errorMessage
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-20,ok,1.08,,1648,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-19,ok,1.1,100000,1648,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-18,ok,1.01,50000,1648,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-17,ok,1.06,,1598,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-16,ok,1.1,50000,1598,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-13,ok,1.14,,1548,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-12,ok,1.14,,1548,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-11,ok,1.1,,1548,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-10,ok,1.17,50000,1548,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-09,ok,1.29,,1498,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-06,ok,1.18,,1498,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-05,ok,1.29,25000,1498,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-04,ok,1.31,,1473,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-03,ok,1.2,75000,1473,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-03-02,ok,1.08,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-27,ok,0.9,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-26,ok,0.85,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-25,ok,1,27000,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-24,ok,0.92,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-23,ok,0.87,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-20,ok,0.88,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-19,ok,0.81,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-18,ok,0.71,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-17,ok,0.79,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-16,ok,0.74,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-13,ok,0.72,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-12,ok,0.69,,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-11,ok,0.73,25000,1398,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-10,ok,0.7,,1373,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-27,,2026-02-05,2026-03-20,2026-02-09,ok,0.74,,1373,EGOW,202701,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-28,,2026-02-05,2026-03-20,2026-03-20,ok,1.25,,2201,EGOW,202801,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-28,,2026-02-05,2026-03-20,2026-03-19,ok,1.23,,2201,EGOW,202801,False,200,
range,2026-03-20,GO_FUTURES,EU,GO,F,Wind,Year,GO Wind Cal-28,,2026-02-05,2026-03-20,2026-03-18,ok,1.16,75000,2201,EGOW,202801,False,200,
