mode,contractAnchorDate,marketGroup,area,commodity,pricing,product,maturityType,delivery,requestedTradeDate,windowStartDate,windowEndDate,tradeDate,status,settlementPrice,volume,grossOpenInterest,shortCode,maturity,assumedCode,httpStatus,errorMessage
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-24,ok,35.18,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-23,ok,36.9,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-20,ok,42.57,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-19,ok,44.46,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-18,ok,45.54,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-17,ok,47.4,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-16,ok,49.47,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-13,ok,53.2,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-12,ok,54.74,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-11,ok,56.77,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Mar-26,,2026-03-10,2026-03-24,2026-03-10,ok,58.58,,73,FNBM,202603,False,200,
auto-update,2026-03-24,POWER,FI,POWER,F,Base,Month,Apr-26,,2026-03-10,2026-03-24,2026-03-24,ok,51.03,,0,FNBM,202604,False,200,
